Kód,Název,kampaně,Výrobce,Kód dodavatele,Sekce,Anotace,Popis,Parametry,Fotografie,Sazba DPH,cena bez DPH [Kč],cena s DPH [Kč],sleva [%],cena pro slevu,cena po slevě bez DPH [Kč],cena po slevě s DPH [Kč],skladem [ks],Dostupnost,záruka [měs.],Zobrazovat ve srovnávačích,cena za proklik [Kč],Kód EAN,Počet prodaných kusů,ID produktu,SEO Titulek,SEO Popis,Přílohy,Hmotnost,Šířka,Výška,Hloubka,Datum vytvoření,Viditelné - produkt,Viditelné - varianta,Varianta: Odstín BB,Varianta: Odstín tužka,Varianta: Odstín rtěnka 80408,Varianta: Odstín rtěnka 80409,Varianta: Dětský kartáček,Varianta: Kartáček ProDental,Varianta: Tužka na oči a obočí,Varianta: Rtěnka Cushion,Varianta: Tonální přípravek Cushion,Varianta: Tužka na obočí,Varianta: Ovocný balzám na rty,Varianta: Odstín pudru,Varianta: Počet kusů,Parametr: Akce,Parametr: Maximální koupitelný počet,Parametr: Min Limit,Parametr: Poměr základní,Parametr: Poměr ND,Parametr: Poměr D,Parametr: Typ vlasů,Parametr: Typ pleti,Parametr: Typ vložek,Parametr: Použití krému,Parametr: Vady pleti,Parametr: Objem,Parametr: Kusy,Parametr: Aktivní složky,Parametr: Neposílat do GEIS,Parametr: Emailový kurz,Parametr: Reálná hmotnost,Parametr: Pořadí v novinkách,Parametr: Doporučený věk,Parametr: Rádce s péčí o pleť,Parametr: Produktová řada,Parametr: Min Limit SK,Fotografie 1,Fotografie 2,Fotografie 3,Fotografie 4,Fotografie 5,Fotografie 6
30221,Tělová sůl „Medová broskev“,WMS,,,Tělo,"Broskvový extrakt zlepšuje látkovou výměnu, obnovuje, zjemňuje a vyživuje pokožku. Drobné krystalky soli jemně odstraňují odumřelé kožní buňky, stimulují regeneraci. Sůl má jemný peelingový efekt a tak aktivuje krevní oběh, odvádí toxiny, zvyšuje tonus a pružnost pokožky, pomáhá zbavit se celulitidy.","<p><strong>Voňavý scrub pro dokonale hladkou pokožku</strong></p>

<p>Broskvový extrakt <strong>zlepšuje látkovou výměnu</strong>, <strong>obnovuje</strong>, <strong>zjemňuje </strong>a <strong>vyživuje pokožku</strong>. Drobné krystalky soli jemně <strong>odstraňují odumřelé kožní buňky</strong>, stimulují regeneraci. Sůl má <strong>jemný peelingový efekt </strong>a tak aktivuje krevní oběh, <strong>odvádí toxiny</strong>, zvyšuje tonus a pružnost pokožky, pomáhá zbavit se celulitidy.</p>",<p><strong>Jak používat: </strong>Masážními pohyby naneste sůl na pokožku. Důkladně opláchněte vodou.</p>,,21,"42,15","51,00",0,"42,1488","42,1488",51,2082,,,Y,,6924444229169,2531,2,,,,"0,05",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,10,,,,,,,,,,1,"Broskev,Mořská sůl",,,66,,,,Spa technology,10,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p3062.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p3105.jpeg,,,,
30215,Tělová sůl „Zelený čaj“,WMS,,,Tělo,"Zelený čaj nasycuje pokožku vitamíny a antioxidanty, vyživuje, předchází předčasnému stárnutí. Drobné krystalky soli jemně odstraňují odumřelé kožní buňky, stimulují regeneraci.Sůl má jemný peelingový efekt a tak aktivuje krevní oběh, odvádí toxiny, zvyšuje tonus a pružnost pokožky, pomáhá zbavit se celulitidy.","<div><strong>Voňavý scrub pro dokonale hladkou pokožku</strong></div>

<div> </div>

<div style=""text-align:justify"">Zelený čaj nasycuje pokožku vitamíny a antioxidanty, vyživuje, předchází předčasnému stárnutí. Drobné krystalky soli jemně odstraňují odumřelé kožní buňky, stimulují regeneraci. <strong id=""docs-internal-guid-3e0e57e9-7fff-4467-8fe6-75b416b6f025"">Vyměňte mycí gel za voňavý tělový peeling se zeleným čajem. Šetrně odstraňuje odumřelé buňky a podporuje regeneraci pokožky. Její peelingový efekt aktivuje oběh krve a zanechává ji sametově hebkou. Navíc bez podráždění.</strong></div>",,,21,"238,02","288,00",0,"190,4132","238,0165",288,740,,,Y,,6924444207181,2850,3,,,,"0,38",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,25,,,,,,,,,,1,"Kamélie,Lanolin,Mořská sůl",,,416,,,,Spa technology,25,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p3106.png,https://www.kralovstvi-tiande.cz/data/photos/2024/08/p6521.jpeg,,,,
30213,Tělová sůl „Medová broskev“,WMS,,,Tělo,"Broskvový extrakt zlepšuje látkovou výměnu, obnovuje, zjemňuje a vyživuje pokožku. Drobné krystalky soli jemně odstraňují odumřelé kožní buňky, stimulují proces regenerace.","<div><strong>Voňavý scrub pro dokonale hladkou pokožku </strong></div>

<div> </div>

<div>Sůl má jemný peelingový efekt a tak aktivuje krevní oběh, odvádí toxiny, zvyšuje tonus a pružnost pokožky, pomáhá zbavit se celulitidy.</div>",,,21,"238,02","288,00",0,"238,0165","238,0165",288,718,,,Y,,6924444207198,2695,4,,,,"0,38",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,25,,,,,,,,,,1,"Broskev,Lanolin,Mořská sůl",,,398,,,,Spa technology,25,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p3108.png,https://www.kralovstvi-tiande.cz/data/photos/2024/08/p6520.jpeg,,,,
30222,Tělová sůl „Grapefruit“,WMS,,,Tělo,"Extrakt z grepu, který tvoří základ výrobku, vypíná pleť, změkčuje ji a redukuje vrásky. Svěží aroma s pikantním nádechem hořkosti má povzbuzující účinky a zlepšuje náladu.","<div> </div>

<div>Drobné krystalky soli jemně odstraňují odumřelé buňky a stimulují regenerační proces. Sůl má peelingový efekt, aktivuje krevní oběh, odvádí toxické látky, zlepšuje celkový vzhled pleti a přispívá k redukci celulitidy. Po použití tělové soli SPA technology se pleť vyhlazuje, aniž by docházelo k vysoušení pokožky. </div>",,,21,"238,02","288,00",0,"190,4132","238,0165",288,265,,,Y,,6924444232237,5867,5,,,,"0,38",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,"Grapefruit,Mořská sůl",,,406,,,,Spa technology,10,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p3104.png,https://www.kralovstvi-tiande.cz/data/photos/2024/08/p6522.jpeg,,,,
30214,Tělová sůl Levandule,,,,,,"<div>Sůl má jemný peelingový efekt a tak aktivuje krevní oběh, odvádí toxiny, zvyšuje tonus a pružnost pokožky, pomáhá zbavit se celulitidy.</div>",,,21,"238,26","288,29",0,"238,26","238,2562","288,29",0,,,Y,,,,6,,,,,,,,01/01/2023,N,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30123,Sprchový gel z lesních jahod s AHA kyselinami,,,,Tělo,,"<div class=""description"" style=""-webkit-text-stroke-width:0px; background-color:#ffffff; border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:&quot;PT Sans&quot;,sans-serif; font-size:13px; font-stretch:inherit; font-style:normal; font-variant-caps:normal; font-variant-ligatures:normal; font-variant-numeric:inherit; font-weight:normal; letter-spacing:normal; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; orphans:2; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-align:left; text-decoration-color:initial; text-decoration-style:initial; text-indent:0px; text-size-adjust:none; text-transform:none; vertical-align:baseline; white-space:normal; widows:2; word-spacing:0px"">
<h2 style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:15px; font-stretch:inherit; line-height:15px; margin-bottom:5px; margin-left:0; margin-right:0; margin-top:15px; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">POPIS:</h2>

<p itemprop=""description"" style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:13px; font-stretch:inherit; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">Exfoliační gel pomáhá pleti zbavit se všeho přebytečného. Hlavní zásadou jeho působení je šetrnost: přírodní exfoliant ve formě mandlového prášku jemně odstraňuje odumřelé kožní buňky, aniž by poškrábal pokožku. AHA-kyseliny, obsažené v extraktu z lesních jahod, rozpouští mezibuněčné vazby, které plní pro zrohovatělé šupinky stejnou úlohu, jako malta v cihlovém zdivu. Díky tomu dochází k oddělení zrohovatělé vrstvy a znečišťujících látek snadno a bezbolestně. Zároveň se zlepšuje krevní oběh, pokožka je ideálně připravena pro další ošetření. Vůně zralých jahod okamžitě zlepšuje náladu.</p>
</div>

<div class=""instruction"" style=""-webkit-text-stroke-width:0px; background-color:#ffffff; border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#000000; font-family:&quot;PT Sans&quot;,sans-serif; font-size:12px; font-stretch:inherit; font-style:normal; font-variant-caps:normal; font-variant-ligatures:normal; font-variant-numeric:inherit; font-weight:normal; letter-spacing:normal; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; orphans:2; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:0px; padding-left:0px; padding-right:0px; padding-top:0px; text-align:left; text-decoration-color:initial; text-decoration-style:initial; text-indent:0px; text-size-adjust:none; text-transform:none; vertical-align:baseline; white-space:normal; widows:2; word-spacing:0px"">
<h2 style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:15px; font-stretch:inherit; line-height:15px; margin-bottom:5px; margin-left:0; margin-right:0; margin-top:15px; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">POUŽITÍ:</h2>

<p style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:13px; font-stretch:inherit; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">Naneste na vlhkou pleť lehkými masážními pohyby, opláchněte vodou.</p>

<p style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:13px; font-stretch:inherit; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline""><span class=""obyom-p"" style=""-webkit-text-stroke-width:0px; background-color:#ffffff; border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:&quot;PT Sans&quot;,sans-serif; font-size:12px; font-stretch:inherit; font-style:normal; font-variant-caps:normal; font-variant-ligatures:normal; font-variant-numeric:inherit; font-weight:normal; letter-spacing:normal; line-height:40px; margin:0px; orphans:2; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:0px; padding-left:0px; padding-right:0px; padding-top:0px; text-align:left; text-decoration-color:initial; text-decoration-style:initial; text-indent:0px; text-size-adjust:none; text-transform:none; vertical-align:baseline; white-space:normal; widows:2; word-spacing:0px"">Objem: 200 ml</span></p>
</div>",,,21,"216,94","262,50",0,"184,399","216,9421","262,5",0,,,Y,,,,7,,,,,,,,01/01/2023,N,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32613,Tělová sůl Mořské řasy,,,,,,"<div>Mořská sůl má <strong>omlazující a stimulační účinky</strong> na pokožku, aktivuje metabolické procesy, obohacuje pokožku mikro a makro-elementy, zvyšuje její pružnost. Výtažek z mořských řas je <strong>bohatým zdrojem minerálů</strong>, které stimulují krevní oběh, <strong>hydratují a posilují pokožku</strong>, která je pak pružnější.</div>",,,21,"48,76","59,00",0,"34,1322","48,7603",59,0,,,Y,,,,8,,,,"0,06",,,,01/01/2023,N,,,,,,,,,,,,,,,0,0,5,0,0,0,,,,,,"0,0,0","0,0,0",,0,0,74,,,,,5,,,,,,
32608,Tělová sůl Královský jasmín,,,,Produktové řady,,"<div class=""description"" style=""-webkit-text-stroke-width:0px; background-color:#ffffff; border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:&quot;PT Sans&quot;,sans-serif; font-size:13px; font-stretch:inherit; font-style:normal; font-variant-caps:normal; font-variant-ligatures:normal; font-variant-numeric:inherit; font-weight:normal; letter-spacing:normal; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; orphans:2; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-align:left; text-decoration-color:initial; text-decoration-style:initial; text-indent:0px; text-size-adjust:none; text-transform:none; vertical-align:baseline; white-space:normal; widows:2; word-spacing:0px"">
<h2 style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:15px; font-stretch:inherit; line-height:15px; margin-bottom:5px; margin-left:0; margin-right:0; margin-top:15px; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">POPIS:</h2>

<p itemprop=""description"" style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:13px; font-stretch:inherit; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">Mořská sůl má omlazující a stimulační účinky na pokožku, aktivuje metabolické procesy, obohacuje pokožku mikro a makro-elementy, zvyšuje její pružnost. Esenciální olej z jasmínu zlepšuje stav všech typů pleti, omlazuje a hydratuje; pomáhá při depresi, nespavosti, pozvedá náladu.</p>
</div>

<div class=""instruction"" style=""-webkit-text-stroke-width:0px; background-color:#ffffff; border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#000000; font-family:&quot;PT Sans&quot;,sans-serif; font-size:12px; font-stretch:inherit; font-style:normal; font-variant-caps:normal; font-variant-ligatures:normal; font-variant-numeric:inherit; font-weight:normal; letter-spacing:normal; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; orphans:2; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:0px; padding-left:0px; padding-right:0px; padding-top:0px; text-align:left; text-decoration-color:initial; text-decoration-style:initial; text-indent:0px; text-size-adjust:none; text-transform:none; vertical-align:baseline; white-space:normal; widows:2; word-spacing:0px"">
<h2 style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:15px; font-stretch:inherit; line-height:15px; margin-bottom:5px; margin-left:0; margin-right:0; margin-top:15px; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">POUŽITÍ:</h2>

<p style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:13px; font-stretch:inherit; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline"">Způsob č. 1. jemnými krouživými pohyby naneste malé množství soli na vlhkou pokožku. Po použití opláchněte vodou.<br style=""OUTLINE-WIDTH: medium !important; OUTLINE-STYLE: none !important; OUTLINE-COLOR: invert !important"" />
Způsob č. 2. sáček soli rozpusťte v teplé vodě. Zůstaňte v koupeli po dobu max. 20 minut.</p>

<p style=""border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:inherit; font-size:13px; font-stretch:inherit; line-height:15px; margin-bottom:0; margin-left:0; margin-right:0; margin-top:0; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:2px; padding-left:0px; padding-right:0px; padding-top:0px; text-size-adjust:none; vertical-align:baseline""><span class=""obyom-p"" style=""-webkit-text-stroke-width:0px; background-color:#ffffff; border-bottom:0px; border-left:0px; border-right:0px; border-top:0px; color:#58595b; font-family:&quot;PT Sans&quot;,sans-serif; font-size:12px; font-stretch:inherit; font-style:normal; font-variant-caps:normal; font-variant-ligatures:normal; font-variant-numeric:inherit; font-weight:normal; letter-spacing:normal; line-height:40px; margin:0px; orphans:2; outline-color:invert !important; outline-style:none !important; outline-width:medium !important; padding-bottom:0px; padding-left:0px; padding-right:0px; padding-top:0px; text-align:left; text-decoration-color:initial; text-decoration-style:initial; text-indent:0px; text-size-adjust:none; text-transform:none; vertical-align:baseline; white-space:normal; widows:2; word-spacing:0px"">Váha: 60 g</span></p>
</div>","<div>TianDe Hainan Tao pomůže vaší pokožce vzdorovat mrazu nebo silnému větru. <strong>Dopady povětrnostních vlivů zmírní</strong> tělová mléka, krémy, sprchové gely a oblíbené tělové soli. <strong>Extrakty z oliv, ženšenu, citronu, mořských řas a kyseliny hyaluronové </strong>zlepší prokrvení pokožky a dodají potřebnou výživu. S produkty Hainan Tao pleť <strong>dokonale vyčistíte</strong> od odumřelých buněk a<strong> posílíte její obranyschopnost</strong>. </div>",,21,"49,26","59,60",0,"49,26","49,2562","59,6",0,,,Y,,,,9,,,,,,,,01/01/2023,N,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20129,Vyživující šampón Slunečné olivy,,,,Vlasy,,"<p>Jemně čistí, obnovuje strukturu vlasů, stimuluje jejich odolnost vůči vnějším vlivům. Dává vlasům sílu a zdravý vzhled. Vlasy jsou hladké a snadno zvládnutelné.</p>",,,21,"154,55","187,01",0,"131,3675","154,5537","187,01",0,,,Y,,,,11,,,,,,,,01/01/2023,N,,,,,,,,,,,,,,,0,,1,,,,"Mastné,Mastné,Mastné",,,,,"200,200,200",,,,,,,,,,1,,,,,,
20118,Šampón regenerační Ovocná energie,,,,Vlasy,,,,,21,"157,19","190,20",0,"133,6115","157,1901","190,2",0,,,Y,,,,12,,,,,,,,01/01/2023,N,,,,,,,,,,,,,,,0,,0,,,,Mastné,,,,,,,,,,,,,,,0,,,,,,
